neighborhood,License issue date,Breed,Name,License expire date,id
BRIGHTON, 10/04/2023,BEAGLE \ BORDER COLLIE,(FOOL)-HARDY, 03/31/2024,161545
ROSLINDALE, 07/11/2016,CHIHUAHUA SH,3A, 03/31/2017,168008
MISSION HILL, 05/12/2016,BRITTANY,A J, 03/31/2017,165380
ROXBURY, 02/10/2016,BOXER,A J, 03/31/2017,164572
SOUTH BOSTON, 05/06/2021,DACHSHUND,A J, 03/31/2022,170230
WEST ROXBURY, 07/14/2015,CHIHUAHUA SH,A J, 03/31/2016,168220
ROXBURY, 05/18/2016,ROTTWEILER \ MIX,A.J., 03/31/2017,191914
DORCHESTER, 02/13/2023,BORDER COLLIE \,ÁINE, 03/31/2024,163451
JAMAICA PLAIN, 09/14/2015,POMERANIAN,AALIYAH, 03/31/2016,188210
SOUTH BOSTON, 03/31/2014,DACHSHUND,AALIYAH, 03/31/2015,170453
FENWAY, 05/24/2018,GERM SHEPHERD,AARIA, 03/31/2019,173227
CHARLESTOWN, 04/18/2018,YORKSHIRE TERR,AAYLA, 03/31/2019,197273
ROSLINDALE, 02/22/2016,BOXER,ABACUS, 03/31/2017,164758
DORCHESTER, 08/26/2016,BOXER,ABAGAIL, 03/31/2017,164604
SOUTH END, 04/04/2019,HAVANESE,ABBA, 03/31/2020,177554
BRIGHTON, 06/08/2017,PIT BULL,ABBEY, 03/31/2018,186329
CHARLESTOWN, 05/11/2016,GOLDEN RETR,ABBEY, 03/31/2017,175022
CHARLESTOWN, 08/31/2020,LABRADOR RETR \ ALASKAN HUSKY,ABBEY, 03/31/2021,181042
FENWAY, 06/15/2021,BEAGLE,ABBEY, 03/31/2022,161014
JAMAICA PLAIN, 04/08/2015,AMER BULLDOG,ABBEY, 03/31/2016,158490
SOUTH BOSTON, 03/07/2017,LABRADOR RETR \ MIX,ABBEY, 03/31/2018,182641
SOUTH END, 12/05/2016,GERM SHEPHERD \ LABRADOR RETR,ABBEY, 03/31/2017,174192
WEST ROXBURY, 04/20/2016,LABRADOR RETR \ GOLDEN RETR,ABBEY, 03/31/2017,181799
SOUTH BOSTON, 04/10/2014,LAKELAND TERR,ABBEY ROSE, 03/31/2015,183607
BEACON HILL, 02/18/2021,CHIHUAHUA SH,ABBIE, 03/31/2022,167157
CHARLESTOWN, 08/28/2018,LABRADOR RETR \ BEAGLE,ABBIE, 03/31/2019,181231
JAMAICA PLAIN, 04/05/2017,AUST CATTLE DOG,ABBIE, 03/31/2018,159267
ROSLINDALE, 07/29/2015,LABRADOR RETR,ABBIE, 03/31/2016,179904
ROSLINDALE, 04/06/2017,SCHNAUZER MIN,ABBIE, 03/31/2018,192454
ROXBURY, 03/19/2015,GERM SHEPHERD,ABBIE, 03/31/2016,173698
EAST BOSTON, 04/09/2019,POODLE MIN \ BERNESE MTN DOG,ABBOTT, 03/31/2020,188923
FENWAY, 07/03/2017,SILKY TERRIER,ABBOTT, 03/31/2018,195070
ALLSTON, 09/11/2015,BORDER COLLIE,ABBY, 03/31/2016,163221
BACK BAY, 06/13/2014,AUST SHEPHERD,ABBY, 03/31/2015,159764
BACK BAY, 03/31/2014,BORDER COLLIE,ABBY, 03/31/2015,163256
BACK BAY, 05/03/2016,LABRADOR RETR,ABBY, 03/31/2017,178432
BEACON HILL, 03/31/2014,LABRADOR RETR,ABBY, 03/31/2015,178160
BRIGHTON, 03/31/2014,BOSTON TERRIER,ABBY, 03/31/2015,163973
BRIGHTON, 04/20/2022,BOXER \ AMERICAN STAFF,ABBY, 03/31/2023,164981
BRIGHTON, 08/21/2014,CHOW CHOW,ABBY, 03/31/2015,169116
BRIGHTON, 02/26/2015,LABRADOR RETR,ABBY, 03/31/2016,178785
